concept_id;level;level_name;label_fr;label_en;definition_fr;definition_en;source_biblio;parent_id;path_ids;path_labels;in_site;in_zthes;source_authority;scheme_url;n_children;n_synonyms;n_related;has_definition
161;3;sous_groupe;GESTION DES RESSOURCES HUMAINES;HUMAN RESOURCES MANAGEMENT;;;;16;1 > 16 > 161;L'entreprise et son management > Relations humaines > GESTION DES RESSOURCES HUMAINES;1;1;zthes;https://aciege.org/Schm/Fra/FRA_161.html;51;0;0;0
162;3;sous_groupe;RELATIONS DU TRAVAIL;LABOR RELATIONS;;;;16;1 > 16 > 162;L'entreprise et son management > Relations humaines > RELATIONS DU TRAVAIL;1;1;zthes;https://aciege.org/Schm/Fra/FRA_162.html;34;0;0;0
163;3;sous_groupe;FORMATION;TRAINING;;;;16;1 > 16 > 163;L'entreprise et son management > Relations humaines > FORMATION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_163.html;43;0;0;0
164;3;sous_groupe;SCIENCE DU COMPORTEMENT;BEHAVIORAL SCIENCE;;;;16;1 > 16 > 164;L'entreprise et son management > Relations humaines > SCIENCE DU COMPORTEMENT;1;1;zthes;https://aciege.org/Schm/Fra/FRA_164.html;62;0;0;0
211;3;sous_groupe;MATHEMATIQUES;MATHEMATICS;;;;21;2 > 21 > 211;Les outils pour gérer l'entreprise > Science des données > MATHEMATIQUES;1;1;zthes;https://aciege.org/Schm/Fra/FRA_211.html;21;0;0;0
212;3;sous_groupe;STATISTIQUE;STATISTICS;;;;21;2 > 21 > 212;Les outils pour gérer l'entreprise > Science des données > STATISTIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_212.html;18;0;0;0
213;3;sous_groupe;INFORMATIQUE;COMPUTER SCIENCE;;;;21;2 > 21 > 213;Les outils pour gérer l'entreprise > Science des données > INFORMATIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_213.html;38;0;0;0
222;3;sous_groupe;COMMUNICATION;COMMUNICATION;;;;22;2 > 22 > 222;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > COMMUNICATION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_222.html;40;0;0;0
223;3;sous_groupe;SCIENCE DE L'INFORMATION;INFORMATION SCIENCE;;;;22;2 > 22 > 223;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > SCIENCE DE L'INFORMATION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_223.html;19;0;0;0
224;3;sous_groupe;TIC;ICT;;;;22;2 > 22 > 224;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > TIC;1;1;zthes;https://aciege.org/Schm/Fra/FRA_224.html;26;0;0;0
