concept_id;label_fr;synonym;lang;relation;source
212_68;ANALYSE DES DONNEES;Analyse des correspondances;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;Analyse discriminante;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;Analyse en composantes principales;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;Analyse factorielle;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;Analyse multidimensionnelle;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;Analyse multivariance;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;Analyse séquentielle;fr;altLabel;site_employe_pour
212_68;ANALYSE DES DONNEES;PCA;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Canonical analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Variance analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Correspondence analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Discriminant analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Principal components analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Factor analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Multidimensional analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Multivariance analysis;en;altLabel;zthes_UF
212_68;ANALYSE DES DONNEES;Sequential analysis;en;altLabel;zthes_UF
212_81;PROCESSUS STOCHASTIQUE;Chaîne de Markov;fr;altLabel;site_employe_pour
212_81;PROCESSUS STOCHASTIQUE;Chain of Markov;en;altLabel;zthes_UF
212_84;ECHANTILLONNAGE;Dispersion;fr;altLabel;site_employe_pour
212_84;ECHANTILLONNAGE;Homogénéité;fr;altLabel;site_employe_pour
212_84;ECHANTILLONNAGE;Hétérogénéité;fr;altLabel;site_employe_pour
212_84;ECHANTILLONNAGE;Nombre au hasard;fr;altLabel;site_employe_pour
212_84;ECHANTILLONNAGE;Population statistique;fr;altLabel;site_employe_pour
212_84;ECHANTILLONNAGE;Stratification;fr;altLabel;site_employe_pour
212_84;ECHANTILLONNAGE;Dispersion;en;altLabel;zthes_UF
212_84;ECHANTILLONNAGE;Heterogeneity;en;altLabel;zthes_UF
212_84;ECHANTILLONNAGE;Homogeneity;en;altLabel;zthes_UF
212_84;ECHANTILLONNAGE;Random number;en;altLabel;zthes_UF
212_84;ECHANTILLONNAGE;Statistical population;en;altLabel;zthes_UF
212_84;ECHANTILLONNAGE;Stratification;en;altLabel;zthes_UF
212_85;ESTIMATION STATISTIQUE;Erreur statistique;fr;altLabel;site_employe_pour
212_85;ESTIMATION STATISTIQUE;Intervalle de confiance;fr;altLabel;site_employe_pour
212_85;ESTIMATION STATISTIQUE;Risque statistique;fr;altLabel;site_employe_pour
212_85;ESTIMATION STATISTIQUE;Statistical error;en;altLabel;zthes_UF
212_85;ESTIMATION STATISTIQUE;Confidence interval;en;altLabel;zthes_UF
212_85;ESTIMATION STATISTIQUE;Statistical risk;en;altLabel;zthes_UF
213_03;BASE DE DONNEES;SGBD;fr;altLabel;site_employe_pour
213_03;BASE DE DONNEES;Système de Gestion de Base de Données;fr;altLabel;site_employe_pour
213_03;BASE DE DONNEES;DBMS;en;altLabel;zthes_UF
213_03;BASE DE DONNEES;Database management system;en;altLabel;zthes_UF
213_07;SYSTEME D'EXPLOITATION;DOS;fr;altLabel;site_employe_pour
213_07;SYSTEME D'EXPLOITATION;Disk Operating System;fr;altLabel;site_employe_pour
213_07;SYSTEME D'EXPLOITATION;Disk Operating System;en;altLabel;zthes_UF
213_07;SYSTEME D'EXPLOITATION;DOS;en;altLabel;zthes_UF
213_14;FICHIER;Fichier de données;fr;altLabel;site_employe_pour
213_14;FICHIER;Fichier inverse;fr;altLabel;site_employe_pour
213_14;FICHIER;Data file;en;altLabel;zthes_UF
213_14;FICHIER;Inverted file;en;altLabel;zthes_UF
213_16;LOGICIEL;Progiciel;fr;altLabel;site_employe_pour
213_16;LOGICIEL;Programme informatique;fr;altLabel;site_employe_pour
213_16;LOGICIEL;Software program;en;altLabel;zthes_UF
213_16;LOGICIEL;Software packaging;en;altLabel;zthes_UF
213_20;INTELLIGENCE ARTIFICIELLE;Système expert;fr;altLabel;site_employe_pour
213_20;INTELLIGENCE ARTIFICIELLE;Assistant vocal;fr;altLabel;zthes_UF
213_20;INTELLIGENCE ARTIFICIELLE;Apprentissage automatique;fr;altLabel;zthes_UF
213_20;INTELLIGENCE ARTIFICIELLE;Expert system;en;altLabel;zthes_UF
213_20;INTELLIGENCE ARTIFICIELLE;Voice assistant;en;altLabel;zthes_UF
213_20;INTELLIGENCE ARTIFICIELLE;Machine learning;en;altLabel;zthes_UF
213_25;PROGRAMMATION INFORMATIQUE;Ordinogramme;fr;altLabel;site_employe_pour
213_25;PROGRAMMATION INFORMATIQUE;Process chart;en;altLabel;zthes_UF
213_27;LANGAGE INFORMATIQUE;Assembleur;fr;altLabel;site_employe_pour
213_27;LANGAGE INFORMATIQUE;Assembler;en;altLabel;zthes_UF
213_33;ANALYSE INFORMATIQUE;Analyse fonctionnelle;fr;altLabel;site_employe_pour
213_33;ANALYSE INFORMATIQUE;Analyse organique;fr;altLabel;site_employe_pour
213_33;ANALYSE INFORMATIQUE;Functional analysis;en;altLabel;zthes_UF
213_33;ANALYSE INFORMATIQUE;Detailed system analysis;en;altLabel;zthes_UF
213_49;ORDINATEUR;Microprocesseur;fr;altLabel;site_employe_pour
213_49;ORDINATEUR;Processeur;fr;altLabel;site_employe_pour
213_49;ORDINATEUR;Unité centrale;fr;altLabel;site_employe_pour
213_49;ORDINATEUR;Microprocessor;en;altLabel;zthes_UF
213_49;ORDINATEUR;Processor;en;altLabel;zthes_UF
213_49;ORDINATEUR;Central processing unit;en;altLabel;zthes_UF
213_53;APPLICATION DE L'INFORMATIQUE;XAO;fr;altLabel;site_employe_pour
213_53;APPLICATION DE L'INFORMATIQUE;CAX;en;altLabel;zthes_UF
213_55;INFORMATIQUE;Service informatique;fr;altLabel;site_employe_pour
213_55;INFORMATIQUE;Data processing department;en;altLabel;zthes_UF
213_59;PERIPHERIQUE INFORMATIQUE;Imprimante;fr;altLabel;site_employe_pour
213_59;PERIPHERIQUE INFORMATIQUE;Printer;en;altLabel;zthes_UF
213_69;TERMINAL;Ecran de visualisation;fr;altLabel;site_employe_pour
213_69;TERMINAL;Display screen;en;altLabel;zthes_UF
213_71;INFORMATIQUE DE GESTION;ERP;fr;altLabel;site_employe_pour
213_71;INFORMATIQUE DE GESTION;Gestion intégrée;fr;altLabel;site_employe_pour
213_71;INFORMATIQUE DE GESTION;Progiciel de gestion intégré;fr;altLabel;site_employe_pour
213_71;INFORMATIQUE DE GESTION;Enterprise resource planning;en;altLabel;zthes_UF
213_71;INFORMATIQUE DE GESTION;ERP;en;altLabel;zthes_UF
213_71;INFORMATIQUE DE GESTION;Integrated management;en;altLabel;zthes_UF
213_73;MODE D'EXPLOITATION;Temps réel;fr;altLabel;site_employe_pour
213_73;MODE D'EXPLOITATION;Tolérance de pannes;fr;altLabel;site_employe_pour
213_73;MODE D'EXPLOITATION;Traitement par lots;fr;altLabel;site_employe_pour
213_73;MODE D'EXPLOITATION;Real time;en;altLabel;zthes_UF
213_73;MODE D'EXPLOITATION;Fault tolerance;en;altLabel;zthes_UF
213_73;MODE D'EXPLOITATION;Batch processing;en;altLabel;zthes_UF
213_75;SECURITE INFORMATIQUE;Cybersécurité;fr;altLabel;site_employe_pour
213_75;SECURITE INFORMATIQUE;Cybersecurity;en;altLabel;zthes_UF
213_77;SUPPORT INFORMATIQUE;Mémoire de masse;fr;altLabel;site_employe_pour
213_77;SUPPORT INFORMATIQUE;Mass memory;en;altLabel;zthes_UF
213_85;AUTHENTIFICATION;Authentification biometrique;fr;altLabel;site_employe_pour
213_85;AUTHENTIFICATION;Signature électronique;fr;altLabel;site_employe_pour
213_85;AUTHENTIFICATION;Biometric authentication;en;altLabel;zthes_UF
213_85;AUTHENTIFICATION;Electronic signature;en;altLabel;zthes_UF
213_97;DISQUE MAGNETIQUE;Disquette;fr;altLabel;site_employe_pour
213_97;DISQUE MAGNETIQUE;Unité de disque magnétique;fr;altLabel;site_employe_pour
213_97;DISQUE MAGNETIQUE;Diskette;en;altLabel;zthes_UF
