categorie;theme;groupe_numerologie;groupe_titre;sous_groupe_numerologie;sous_groupe;lien_sous_groupe_schema;lien_sous_groupe_liste
2;Les outils pour gérer l'entreprise;21;Science des données;212;STATISTIQUE;https://aciege.org/Schm/Fra/FRA_212.html;https://aciege.org/CS/Fra/FRA_212.html
2;Les outils pour gérer l'entreprise;21;Science des données;213;INFORMATIQUE;https://aciege.org/Schm/Fra/FRA_213.html;https://aciege.org/CS/Fra/FRA_213.html
2;Les outils pour gérer l'entreprise;22;Sciences et techniques de l'information;222;COMMUNICATION;https://aciege.org/Schm/Fra/FRA_222.html;https://aciege.org/CS/Fra/FRA_222.html
2;Les outils pour gérer l'entreprise;22;Sciences et techniques de l'information;223;SCIENCE DE L'INFORMATION;https://aciege.org/Schm/Fra/FRA_223.html;https://aciege.org/CS/Fra/FRA_223.html
2;Les outils pour gérer l'entreprise;22;Sciences et techniques de l'information;224;TIC;https://aciege.org/Schm/Fra/FRA_224.html;https://aciege.org/CS/Fra/FRA_224.html
3;Les Environnements de l'entreprise;31;Politique;311;ENVIRONNEMENT POLITIQUE;https://aciege.org/Schm/Fra/FRA_311.html;https://aciege.org/CS/Fra/FRA_311.html
3;Les Environnements de l'entreprise;32;Droit;321;DROIT;https://aciege.org/Schm/Fra/FRA_321.html;https://aciege.org/CS/Fra/FRA_321.html
3;Les Environnements de l'entreprise;32;Droit;322;DROIT COMMERCIAL;https://aciege.org/Schm/Fra/FRA_322.html;https://aciege.org/CS/Fra/FRA_322.html
3;Les Environnements de l'entreprise;32;Droit;323;DROIT CIVIL;https://aciege.org/Schm/Fra/FRA_323.html;https://aciege.org/CS/Fra/FRA_323.html
3;Les Environnements de l'entreprise;32;Droit;324;DROIT SOCIAL;https://aciege.org/Schm/Fra/FRA_324.html;https://aciege.org/CS/Fra/FRA_324.html
3;Les Environnements de l'entreprise;33;Economie;331;THEORIE ECONOMIQUE;https://aciege.org/Schm/Fra/FRA_331.html;https://aciege.org/CS/Fra/FRA_331.html
3;Les Environnements de l'entreprise;33;Economie;332;ECONOMIE POLITIQUE;https://aciege.org/Schm/Fra/FRA_332.html;https://aciege.org/CS/Fra/FRA_332.html
3;Les Environnements de l'entreprise;33;Economie;333;ECONOMIE INTERNATIONALE;https://aciege.org/Schm/Fra/FRA_333.html;https://aciege.org/CS/Fra/FRA_333.html
3;Les Environnements de l'entreprise;33;Economie;334;FISCALITE;https://aciege.org/Schm/Fra/FRA_334.html;https://aciege.org/CS/Fra/FRA_334.html
3;Les Environnements de l'entreprise;33;Economie;335;BANQUE ET MONNAIE;https://aciege.org/Schm/Fra/FRA_335.html;https://aciege.org/CS/Fra/FRA_335.html
3;Les Environnements de l'entreprise;34;Environnement naturel;341;ENERGIE;https://aciege.org/Schm/Fra/FRA_341.html;https://aciege.org/CS/Fra/FRA_341.html
3;Les Environnements de l'entreprise;34;Environnement naturel;342;PROTECTION DE L'ENVIRONNEMENT;https://aciege.org/Schm/Fra/FRA_342.html;https://aciege.org/CS/Fra/FRA_342.html
3;Les Environnements de l'entreprise;35;Société;351;ENVIRONNEMENT SOCIAL;https://aciege.org/Schm/Fra/FRA_351.html;https://aciege.org/CS/Fra/FRA_351.html
3;Les Environnements de l'entreprise;35;Société;352;DEMOGRAPHIE;https://aciege.org/Schm/Fra/FRA_352.html;https://aciege.org/CS/Fra/FRA_352.html
3;Les Environnements de l'entreprise;36;Culture;361;ENVIRONNEMENT CULTUREL ET ARTISTIQUE;https://aciege.org/Schm/Fra/FRA_361.html;https://aciege.org/CS/Fra/FRA_361.html
3;Les Environnements de l'entreprise;36;Culture;362;ENVIRONNEMENT SCIENTIFIQUE;https://aciege.org/Schm/Fra/FRA_362.html;https://aciege.org/CS/Fra/FRA_362.html
3;Les Environnements de l'entreprise;36;Culture;;;;
3;Les Environnements de l'entreprise;36;Culture;;;;
3;Les Environnements de l'entreprise;36;Culture;;;;
3;Les Environnements de l'entreprise;36;Culture;;;;
4;Listes outils;41;Listes;410;LANGUE VIVANTE;;https://aciege.org/CS/Fra/FRA_410.html
4;Listes outils;41;Listes;411;MOT OUTIL;;https://aciege.org/CS/Fra/FRA_411.html
