sous_groupe;descripteur_code;descripteur;relation;cible_code;cible_libelle;cible_url
414;414_06;ANRT;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_06;ANRT;employe_pour;As_2478;Association Nationale de Recherche Technique;https://aciege.org/Dct/Fra/As_2478.html
414;414_04;APCE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_04;APCE;employe_pour;Ag_2402;Agence Nationale pour la Création d'Entreprise;https://aciege.org/Dct/Fra/Ag_2402.html
414;414_08;APEC;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_08;APEC;employe_pour;As_2484;Association pour l'Emploi des Cadres;https://aciege.org/Dct/Fra/As_2484.html
414;414_09;ARIST;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_09;ARIST;employe_pour;Ag_2403;Agence Régionale d'Information Scientifique et Technique;https://aciege.org/Dct/Fra/Ag_2403.html
414;414_11;BIPE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_11;BIPE;employe_pour;Bu_2540;Bureau d'Information et de Prévisions Economiques;https://aciege.org/Dct/Fra/Bu_2540.html
414;414_07;BPI FRANCE FINANCEMENT;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_07;BPI FRANCE FINANCEMENT;employe_pour;AN_2377;ANVAR;https://aciege.org/Dct/Fra/AN_2377.html
414;414_07;BPI FRANCE FINANCEMENT;employe_pour;As_2479;Association Nationale pour la Valorisation de la Recherche;https://aciege.org/Dct/Fra/As_2479.html
414;414_07;BPI FRANCE FINANCEMENT;employe_pour;BD_2503;BDPME;https://aciege.org/Dct/Fra/BD_2503.html
414;414_07;BPI FRANCE FINANCEMENT;employe_pour;Ba_2515;Banque du développement des PME;https://aciege.org/Dct/Fra/Ba_2515.html
414;414_07;BPI FRANCE FINANCEMENT;employe_pour;OS_3242;OSEO-ANVAR;https://aciege.org/Dct/Fra/OS_3242.html
414;414_14;BUSINESS FRANCE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_14;BUSINESS FRANCE;employe_pour;Ag_2408;Agence française du commerce extérieur;https://aciege.org/Dct/Fra/Ag_2408.html
414;414_14;BUSINESS FRANCE;employe_pour;Ce_2589;Centre Français du Commerce Extérieur;https://aciege.org/Dct/Fra/Ce_2589.html
414;414_14;BUSINESS FRANCE;employe_pour;UB_3605;UBIFRANCE;https://aciege.org/Dct/Fra/UB_3605.html
414;414_25;CDIA;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_25;CDIA;employe_pour;Ce_2596;Centre de Documentation et d'Information de l'Assurance;https://aciege.org/Dct/Fra/Ce_2596.html
414;414_12;CECOD;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_12;CECOD;employe_pour;Ce_2593;Centre d'Etude du Commerce et de la Distribution;https://aciege.org/Dct/Fra/Ce_2593.html
414;414_13;CEREQ;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_13;CEREQ;employe_pour;Ce_2594;Centre d'Etudes et de Recherches sur les Qualifications;https://aciege.org/Dct/Fra/Ce_2594.html
